date,facebook,twitter,linkedin,foursquare
20110701,0,0,0,0
20110702,0,0,0,0
20110703,0,0,0,0
20110704,0,0,0,0
20110705,0,0,0,0
20110706,0,0,0,0
20110707,0,0,0,0
20110708,0,0,0,0
20110709,0,0,0,0
20110710,0,0,0,0
20110711,0,0,0,0
20110712,0,0,0,0
20110713,0,0,0,0
20110714,0,0,0,0
20110715,0,0,0,0
20110716,0,0,0,0
20110717,0,0,0,0
20110718,0,0,0,0
20110719,0,0,0,0
20110720,0,0,0,0
20110721,0,0,0,0
20110722,0,0,0,0
20110723,0,0,0,0
20110724,0,0,0,0
20110725,0,0,0,1
20110726,0,0,0,1
20110727,0,1,0,1
20110728,0,0,0,1
20110729,0,0,2,2
20110730,1,0,0,2
20110731,0,0,0,2
20110801,1,0,0,2
20110802,0,1,1,1
20110803,0,0,0,1
20110804,0,0,0,1
20110805,1,0,0,3
20110806,4,0,1,2
20110807,2,0,0,1
20110808,1,0,0,0
20110809,1,0,0,5
20110810,2,0,0,1
20110811,0,0,0,1
20110812,0,0,0,3
20110813,1,0,0,1
20110814,1,0,0,1
20110815,0,0,1,0
20110816,0,0,0,0
20110817,1,0,0,0
20110818,1,1,0,0
20110819,0,0,0,0
20110820,1,0,0,2
20110821,1,0,0,3
20110822,1,0,0,0
20110823,1,0,0,3
20110824,2,1,0,2
20110825,1,0,0,2
20110826,0,0,0,1
20110827,0,0,0,2
20110828,0,0,0,1
20110829,0,0,0,0
20110830,0,0,0,0
20110831,0,0,1,1
20110901,0,0,0,1
20110902,0,0,0,1
20110903,1,0,0,0
20110904,0,0,0,1
20110905,1,1,0,0
20110906,0,0,0,0
20110907,0,0,0,0
20110908,0,0,0,0
20110909,0,0,0,0
20110910,0,0,0,0
20110911,0,1,0,0
20110912,1,0,0,0
20110913,0,0,0,0
20110914,0,0,0,0
20110915,0,0,0,0
20110916,0,0,0,0
20110917,0,0,0,0
20110918,0,0,0,0
20110919,2,0,0,0
20110920,0,0,0,0
20110921,0,0,0,0
20110922,0,0,0,0
20110923,0,0,0,0
20110924,0,0,0,0
20110925,0,0,0,0
20110926,1,0,0,0
20110927,1,0,0,0
20110928,0,0,0,0
20110929,0,0,0,0
20110930,0,0,0,0
20111001,0,0,0,0
20111002,0,0,0,0
20111003,0,0,0,0
20111004,0,0,0,0
